model,phase,precision@10,recall@10,n_users
MF,Cold,0.0,0.0,0
MF,Warm-A,0.0,0.0,0
MF,Warm-B,0.0,0.0,0
MF,Warm-C,0.0,0.0,0
BPR,Cold,0.0,0.0,0
BPR,Warm-A,0.0,0.0,0
BPR,Warm-B,0.0,0.0,0
BPR,Warm-C,0.0,0.0,0
BiVAE,Cold,0.0,0.0,0
BiVAE,Warm-A,0.0,0.0,0
BiVAE,Warm-B,0.0,0.0,0
BiVAE,Warm-C,0.0,0.0,0
LightGCN,Cold,0.0,0.0,0
LightGCN,Warm-A,0.0,0.0,0
LightGCN,Warm-B,0.0,0.0,0
LightGCN,Warm-C,0.0,0.0,0
EmerG,Cold,0.4,0.004469273611903191,5004
EmerG,Warm-A,1.0,0.011173184029757977,5004
EmerG,Warm-B,0.9,0.010055866092443466,5004
EmerG,Warm-C,1.0,0.011173184029757977,5004
